,Frame No,Car Details
70,108,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01618750000000091}"
71,109,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016708899999997584}"
72,110,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01513050000000149}"
73,111,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01591409999999982}"
74,112,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015629399999998128}"
75,113,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015020499999998549}"
76,136,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015617200000001219}"
77,137,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015391300000000996}"
78,138,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017043499999999767}"
79,139,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018306200000001382}"
80,140,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01675170000000037}"
81,141,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017439599999999444}"
82,142,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015842599999999152}"
83,143,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015558999999999656}"
84,144,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015673899999999463}"
85,145,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015248100000000875}"
86,146,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.023834499999999537}"
87,147,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018491700000001998}"
88,148,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01645510000000172}"
89,149,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01821520000000021}"
90,150,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018844000000001415}"
91,151,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017211100000000812}"
92,152,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01584219999999803}"
93,153,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015624299999998925}"
94,154,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018191000000001623}"
95,155,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015983200000000863}"
96,156,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.014952799999999655}"
97,157,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015187099999998566}"
98,158,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015859700000000032}"
99,159,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01718569999999886}"
100,160,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01570650000000029}"
101,161,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015984699999997076}"
102,162,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01674679999999995}"
103,164,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015818799999998134}"
104,403,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.01710119999999904}"
105,404,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.015989699999998663}"
106,405,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01761369999999829}"
107,406,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018118600000001095}"
108,407,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.016784900000004654}"
109,408,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018601300000000265}"
110,409,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01791350000000591}"
111,410,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01735479999999967}"
112,411,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01757870000000139}"
113,412,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01708569999999554}"
114,413,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.016862700000004338}"
115,414,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01877749999999878}"
116,415,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017493899999998064}"
117,416,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.01716379999999873}"
118,417,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018803300000001855}"
119,418,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01731230000000039}"
120,419,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01753140000000286}"
121,420,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.016820199999997953}"
122,423,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017865100000001632}"
123,430,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016823699999996222}"
124,431,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.01671729999999627}"
125,495,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.0166248999999965}"
126,496,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.024306400000000394}"
127,497,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.028827099999993777}"
128,498,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.019756299999997395}"
129,499,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01785160000000019}"
130,500,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.026119899999997642}"
131,501,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017158000000002005}"
132,502,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017009300000005112}"
133,503,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.021751300000005358}"
134,504,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.019626800000004607}"
135,505,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017084600000004002}"
136,506,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018184699999999054}"
137,507,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.02634830000000221}"
138,508,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.02278570000000002}"
139,509,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.029825700000003508}"
140,510,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.025348300000004542}"
141,511,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.016933899999997948}"
142,512,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.025537599999999827}"
143,513,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.016546600000005185}"
144,514,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017392000000000962}"
145,515,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.030495399999999506}"
146,516,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017737100000005057}"
147,517,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01792199999999866}"
148,518,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017002099999999132}"
149,519,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.024417300000003195}"
150,520,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.017390100000000075}"
151,521,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01800670000000082}"
152,522,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018824299999998573}"
153,575,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016633699999999862}"
154,576,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.017480599999998958}"
155,577,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016200100000006046}"
156,578,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017763099999996257}"
157,580,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018041100000004917}"
158,581,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01727750000000583}"
159,582,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01730600000000493}"
160,583,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017371100000005413}"
