,Frame No,Car Details
307,1047,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017895499999994513}"
308,1048,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.019446700000003148}"
309,1049,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017302499999999554}"
310,1050,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016846999999998502}"
311,1051,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017681699999997136}"
312,1052,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017042399999994018}"
313,1053,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01689019999999175}"
314,1054,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016850399999995602}"
315,1055,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01782869999999548}"
316,1056,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.018574400000005653}"
317,1057,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017234999999999445}"
318,1058,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017453299999999672}"
319,1059,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016333400000007714}"
320,1060,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017097199999994928}"
321,1061,"{'count': 1, 'Hatchback': 1, 'black': 1, 'time': 0.017199599999997872}"
322,1062,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016873699999990777}"
323,1063,"{'count': 1, 'Hatchback': 1, 'black': 1, 'time': 0.01740999999999815}"
324,1064,"{'count': 1, 'Hatchback': 1, 'black': 1, 'time': 0.019136700000004225}"
325,1065,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016369000000011624}"
326,1112,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.027491100000005986}"
327,1113,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016450100000000134}"
328,1114,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016534100000001217}"
329,1115,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.016742800000002944}"
330,1116,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.02592260000000124}"
331,1117,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.018902199999999425}"
332,1118,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01681500000000824}"
333,1119,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016285499999995068}"
334,1120,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01677769999999157}"
335,1121,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.024772599999991485}"
336,1122,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.026093099999997094}"
337,1123,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.019367799999997715}"
338,1124,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.017333399999984067}"
339,1125,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01745860000002608}"
340,1126,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01700030000000652}"
341,1127,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.0166336000000058}"
342,1128,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.025652100000002065}"
343,1129,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017195799999996098}"
344,1130,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01692180000000576}"
345,1131,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01680170000000203}"
346,1132,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016503899999975147}"
347,1133,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.023515599999996084}"
348,1134,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.027519899999987274}"
349,1135,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01657370000000924}"
350,1136,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01780449999998268}"
351,1137,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016478100000000495}"
352,1138,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017701200000004746}"
353,1139,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017458699999991723}"
354,1437,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017010999999996557}"
355,1438,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016967199999982086}"
356,1439,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016359499999992977}"
357,1440,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01650059999997211}"
358,1441,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017951199999998835}"
359,1442,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016771700000020928}"
360,1443,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01679189999998698}"
361,1444,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01695939999999041}"
362,1445,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017345199999994065}"
363,1446,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016378900000006524}"
364,1447,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01667059999999765}"
365,1448,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016745099999980084}"
366,1449,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01707659999999578}"
367,1450,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018958600000019032}"
368,1451,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018148899999999912}"
369,1452,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.015897499999994125}"
370,1453,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016257400000000644}"
371,1454,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016711999999984073}"
372,1455,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017420000000015534}"
373,1456,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016879299999999375}"
374,1457,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017797199999989743}"
375,1458,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016463700000002746}"
376,1470,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01792640000002166}"
377,1472,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018766900000002806}"
378,1473,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016951099999999997}"
379,1475,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01712129999998524}"
380,1476,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01657199999999648}"
381,1477,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.01633100000000809}"
382,1479,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01685590000002435}"
383,1480,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017441899999994348}"
384,1481,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01867749999999546}"
385,1482,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.016398700000024746}"
386,1483,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01719529999999736}"
387,1484,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016902499999986276}"
